"region","lon","lat"
"SAN JUAN","-66.09082","18.40158"
"SAN JUAN","-66.03019","18.3985"
"BAYAMON","-66.39433","18.25199"
"BAYAMON","-66.33589","18.34841"
"CAGUAS","-66.11254","17.99037"
"HUMACAO","-65.96106","18.1887"
"MAYAGUEZ","-67.26544","18.35936"
"ARECIBO","-66.89","18.194"
"MAYAGUEZ","-67.07152","18.13602"
"HUMACAO","-65.87392","18.26638"
"CAGUAS","-66.03575","18.22684"
"SAN JUAN","-66.01437","18.39746"
"HUMACAO","-65.43863","18.15216"
"SAN JUAN","-65.97719","18.40046"
"MAYAGUEZ","-66.95463","18.38542"
"CAGUAS","-66.28955","17.96167"
"HUMACAO","-65.99573","17.98027"
"HUMACAO","-65.8683","18.38393"
"SAN JUAN","-66.04914","18.41383"
"CAGUAS","-65.94134","18.26486"
"ARECIBO","-66.49272","18.36056"
"CAGUAS","-66.0533","18.21488"
"SAN JUAN","-66.04568","18.43345"
"PONCE","-66.61467","18.0076"
"MAYAGUEZ","-67.03717","18.08018"
"BAYAMON","-66.26968","18.34535"
"MAYAGUEZ","-67.06978","18.1076"
"SAN JUAN","-66.00461","18.36696"
"PONCE","-66.59335","18.04266"
"BAYAMON","-66.1437","18.31667"
"CAGUAS",,
"PONCE",,
"PONCE","-66.81443","17.99275"
"MAYAGUEZ","-67.12562","18.45726"
"BAYAMON","-66.12146","18.44014"
"ARECIBO","-66.32616","18.41052"
"ARECIBO","-66.33517","18.41993"
"ARECIBO","-66.55764","18.43753"
"MAYAGUEZ","-66.93366","18.15058"
"HUMACAO","-65.66831","18.31877"
"CAGUAS","-66.21714","18.22601"
"CAGUAS","-66.0097","18.21628"
"PONCE","-66.86884","18.02949"
"SAN JUAN","-66.07748","18.33924"
"BAYAMON","-66.15097","18.38724"
"CAGUAS","-66.31086","18.24555"
"PONCE","-66.721","18.24821"
"SAN JUAN","-66.07391","18.44667"
"BAYAMON","-66.91944444","18.33333333"
"ARECIBO","-66.87253611","18.317925"
"CAGUAS","-66.285279","18.234232"
"BAYAMON","-66.17208","18.40737"
"HUMACAO","-65.64618","18.26384"
"HUMACAO","-65.84938","18.42601"
"PONCE","-66.72205","18.05453"
"CAGUAS","-66.25086","18.02434"
"PONCE","-66.70386","18.05139"
"CAGUAS","-66.2984022","17.9729436"
"MAYAGUEZ","-67.02123","18.49813"
"BAYAMON","-66.14369","18.42984"
"HUMACAO","-65.90938","18.22734"
"MAYAGUEZ","-67.13682","18.2813"
"PONCE","-66.60409","18.00551"
"ARECIBO","-66.26129","18.46031"
"BAYAMON","-66.40455","18.32492"
"HUMACAO","-65.88723","18.04678"
"ARECIBO","-66.48243","18.27293"
"PONCE","-66.62797","18.00872"
"SAN JUAN","-66.0483","18.43152"
"MAYAGUEZ","-67.1506","18.08048"
"CAGUAS","-66.04603","18.22947"
"PONCE","-66.59023","18.04306"
"SAN JUAN","-65.93969","18.32666"
"SAN JUAN","-65.9538","18.39564"
"BAYAMON","-66.15721","18.35848"
"SAN JUAN","-66.02305","18.36804"
"ARECIBO","-66.49088","18.42624"
"CAGUAS","-66.0579","18.28231"
"CAGUAS","-66.1591","18.17438"
"SAN JUAN","-65.91477","18.31455"
"SAN JUAN","-66.01085","18.37222"
"PONCE","-66.62941","18.01735"
"ARECIBO","-66.77812","18.45451"
"HUMACAO","-65.86441","18.42738"
"CAGUAS","-66.04955","18.20766"
"PONCE","-66.40609","17.96684"
"BAYAMON","-66.17909","18.45235"
"ARECIBO","-66.73129","18.46304"
"HUMACAO","-65.99334","18.12068"
"MAYAGUEZ","-67.25554","18.34231"
